Canton (-) / District (>>) / Commune (......);Nationalit? - Total;Suisse;Albanie;Allemagne;France;Royaume-Uni;Italie;Autriche;Portugal;Espagne;Turquie;Kosovo
......0383 B?ren an der Aare;3446;2873;0;98;6;1;73;7;130;5;5;1
......0385 Diessbach bei B?ren;967;877;0;25;1;0;6;3;12;1;3;15
......0386 Dotzigen;1424;1321;0;43;4;2;15;0;11;1;10;0
......0388 Leuzigen;1232;1168;0;37;1;1;3;0;1;0;0;0
......0389 Meienried;54;53;0;1;0;0;0;0;0;0;0;0
......0391 Oberwil bei B?ren;828;784;0;16;0;0;3;0;7;1;1;0
......0393 R?ti bei B?ren;823;772;0;28;1;0;11;2;1;0;0;0
......0394 Wengi;598;549;0;26;0;0;7;1;9;0;0;0
......0491 Br?ttelen;568;463;0;13;1;1;4;1;52;0;0;0
......0492 Erlach;1346;1143;1;60;11;6;19;1;14;11;0;1
......0493 Finsterhennen;528;402;0;9;0;3;5;2;66;0;0;5
......0494 Gals;770;691;0;11;15;2;5;4;14;6;0;0
......0495 Gampelen;844;708;0;11;8;2;12;3;48;2;0;15
......0496 Ins;3406;2828;0;102;18;1;22;7;169;18;4;57
......0497 L?scherz;528;476;0;26;4;0;1;2;9;1;0;0
......0498 M?ntschemier;1309;931;0;16;8;3;3;1;252;0;0;1
......0499 Siselen;584;522;0;18;0;0;2;5;20;0;0;0
......0500 Treiten;427;396;0;1;0;0;4;0;20;0;0;0
......0501 Tschugg;440;357;0;31;0;0;8;4;2;2;0;1
......0502 Vinelz;855;762;0;33;10;1;5;2;19;1;1;0
......0532 Bangerten;151;141;0;5;1;0;0;0;0;0;0;0
......0734 B?hl;409;396;0;4;0;2;4;0;0;1;0;0
......0735 Epsach;329;318;0;7;0;0;1;0;3;0;0;0
......0736 Hagneck;401;381;0;10;0;0;3;0;0;0;0;4
......0737 Hermrigen;275;253;0;13;0;0;1;1;5;0;0;0
......0738 Jens;680;646;0;6;0;0;1;1;0;12;0;0
......0741 Merzligen;396;382;0;8;2;0;1;0;0;0;0;0
......0749 Studen (BE);3107;2625;0;77;9;1;71;5;49;30;40;35
......0751 T?uffelen;2691;2482;0;56;12;4;31;12;13;7;3;13
......0754 Walperswil;986;925;0;20;5;0;6;1;4;0;0;6
......0755 Worben;2263;2039;0;45;1;0;26;6;17;19;18;14
>> Verwaltungskreis Oberaargau;79196;68636;6;2167;76;68;1276;203;619;233;599;1107
......0321 Aarwangen;4312;3710;0;101;8;0;71;26;23;17;16;104
......0322 Auswil;459;453;0;2;0;0;1;0;0;0;0;0
......0323 Bannwil;702;634;0;24;1;0;5;1;0;1;0;0
......0324 Bleienbach;673;638;0;16;0;0;2;0;5;1;0;0
......0325 Busswil bei Melchnau;188;172;0;3;0;0;0;0;0;0;0;0
......0326 Gondiswil;735;715;0;11;0;0;1;0;0;4;0;0
......0329 Langenthal;15316;12101;3;453;22;25;418;55;187;93;270;324
......0331 Lotzwil;2514;2119;1;82;7;2;39;4;10;5;17;34
......0332 Madiswil;3149;2999;1;72;2;0;6;5;8;3;0;5
......0333 Melchnau;1537;1309;0;44;0;0;13;2;6;0;6;35
......0334 Obersteckholz;418;411;0;3;0;0;1;0;0;0;0;0
......0335 Oeschenbach;241;236;0;3;0;0;0;0;0;0;0;1
......0336 Reisiswil;195;181;0;11;0;1;0;0;0;0;0;0
......0337 Roggwil (BE);3917;3364;0;115;9;5;90;8;31;12;13;89
......0338 Rohrbach;1401;1316;0;24;1;1;4;0;2;1;0;10
......0339 Rohrbachgraben;404;390;0;11;0;0;0;0;0;0;0;0
......0340 R?tschelen;567;548;0;13;0;0;3;0;0;0;1;0
......0341 Schwarzh?usern;497;475;0;14;0;0;0;2;1;1;0;0
......0342 Thunstetten;3199;2665;0;102;1;2;72;19;17;6;33;70
......0344 Ursenbach;909;874;0;23;1;1;0;1;0;0;0;0
......0345 Wynau;1591;1257;0;52;0;1;47;8;17;9;20;75
......0953 Eriswil;1386;1318;0;14;0;1;1;2;0;8;0;0
......0954 Huttwil;4680;4189;0;92;1;1;32;5;61;8;7;48
......0959 Walterswil (BE);532;527;0;3;1;0;0;0;0;0;0;0
......0960 Wyssachen;1168;1114;0;25;1;0;1;4;3;1;1;1
......0971 Attiswil;1396;1261;0;29;0;5;24;2;10;1;0;11
......0972 Berken;44;44;0;0;0;0;0;0;0;0;0;0
......0973 Bettenhausen;679;658;0;10;0;1;8;0;0;0;0;0
......0975 Farnern;210;201;0;7;0;0;0;0;0;0;0;0
......0976 Graben;326;303;0;8;0;0;2;2;0;1;1;0
......0977 Heimenhausen;1050;981;0;37;1;0;10;2;5;0;2;2
......0978 Hermiswil;102;93;0;5;0;0;0;0;0;0;0;0
......0979 Herzogenbuchsee;6956;5847;0;133;4;7;197;15;51;17;114;178
......0980 Inkwil;625;591;0;16;0;0;7;0;0;0;0;0
......0981 Niederbipp;4448;3477;0;212;8;1;87;12;152;14;56;42
......0982 Nieder?nz;1584;1444;1;41;0;4;32;5;5;7;10;2
......0983 Oberbipp;1684;1431;0;79;2;0;31;9;14;10;15;19
......0985 Ochlenberg;574;563;0;4;0;0;0;0;0;0;0;0
......0987 Rumisberg;470;449;0;14;1;0;0;1;0;0;0;0
......0988 Seeberg;1426;1361;0;20;3;6;7;4;1;1;2;0
......0989 Th?rigen;1064;1004;0;35;0;0;7;1;0;0;0;4
......0990 Walliswil bei Niederbipp;211;193;0;15;0;0;1;0;0;0;0;0
......0991 Walliswil bei Wangen;577;558;0;9;0;1;0;0;0;1;0;0
......0992 Wangen an der Aare;2201;1923;0;74;1;1;30;5;2;6;6;31
......0993 Wangenried;422;406;0;6;0;0;3;0;0;0;0;0
......0995 Wiedlisbach;2270;1961;0;96;1;2;22;3;8;4;9;22
......0996 Wolfisberg;187;172;0;4;0;0;1;0;0;1;0;0
>> Verwaltungskreis Emmental;95573;87774;10;1740;59;71;975;121;194;168;405;544
......0401 Aefligen;1061;993;0;24;3;0;10;0;11;0;5;0
......0402 Alchenstorf;584;555;0;18;0;0;1;3;0;1;0;0
......0404 Burgdorf;15998;13720;2;394;13;28;356;30;32;78;153;152
......0405 Ersigen;1671;1613;0;23;1;0;17;2;0;0;0;0
......0406 Hasle bei Burgdorf;3299;3098;0;67;2;3;13;3;1;5;1;2
......0407 Heimiswil;1619;1554;0;39;2;1;2;3;1;0;0;0
......0408 Hellsau;195;186;0;3;0;0;2;0;2;0;0;0
......0409 Hindelbank;2384;2113;0;72;0;1;37;4;8;5;0;11
......0410 H?chstetten;274;265;0;4;0;0;0;0;0;0;5;0
......0411 Kernenried;490;466;0;9;1;0;0;0;0;1;0;5
......0412 Kirchberg (BE);5807;4993;7;132;2;5;205;6;21;18;74;46
......0413 Koppigen;2117;1981;0;34;2;0;13;3;7;3;1;0
......0414 Krauchthal;2306;2194;0;51;5;1;11;4;1;9;1;5
......0415 Lyssach;1412;1306;0;28;2;1;16;1;1;1;5;11
......0416 M?tschwil;127;123;0;3;0;0;0;0;0;0;0;0
......0417 Nieder?sch;237;233;0;2;1;0;1;0;0;0;0;0
......0418 Oberburg;2920;2471;0;62;2;4;40;6;0;4;39;38
......0419 Ober?sch;109;104;0;2;0;0;0;0;0;0;0;0
......0420 R?dtligen-Alchenfl?h;2435;1837;0;67;1;0;72;6;18;4;55;57
......0421 Rumendingen;90;87;0;1;0;0;0;0;0;0;0;0
......0422 R?ti bei Lyssach;169;162;0;1;4;0;2;0;0;0;0;0
......0423 Willadingen;208;207;0;0;0;0;0;0;0;0;0;0
......0424 Wynigen;2016;1963;0;30;0;0;2;1;3;1;0;0
......0533 B?tterkinden;3147;2938;0;68;2;1;14;10;9;8;5;8
......0552 Utzenstorf;4207;3850;0;82;1;2;47;6;52;13;14;5
