"name","id","value"
"Gilly",1238,"Région linguistique française"
"Riaz",1239,"Région linguistique française"
"Sumiswald",124,"Région linguistique allemande"
"Holderbank (SO)",1240,"Région linguistique allemande"
"Hägglingen",1241,"Région linguistique allemande"
"Saint-Aubin-Sauges",1242,"Région linguistique française"
"Corippo",1243,"Région linguistique italienne"
"Marly",1244,"Région linguistique française"
"La Sarraz",1245,"Région linguistique française"
"Altikon",1246,"Région linguistique allemande"
"Vernier",1247,"Région linguistique française"
"Raperswilen",1248,"Région linguistique allemande"
"Matzingen",1249,"Région linguistique allemande"
"Plaffeien",125,"Région linguistique allemande"
"Schenkon",1250,"Région linguistique allemande"
"Therwil",1251,"Région linguistique allemande"
"Fraubrunnen",1252,"Région linguistique allemande"
"Villarzel",1253,"Région linguistique française"
"Agarn",1254,"Région linguistique allemande"
"Attiswil",1255,"Région linguistique allemande"
"Kyburg",1256,"Région linguistique allemande"
"Muri bei Bern",1257,"Région linguistique allemande"
"Arnex-sur-Orbe",1258,"Région linguistique française"
"Brienzwiler",1259,"Région linguistique allemande"
"Biasca",126,"Région linguistique italienne"
"Deitingen",1260,"Région linguistique allemande"
"Trimbach",1261,"Région linguistique allemande"
"Bonvillars",1262,"Région linguistique française"
"Maladers",1263,"Région linguistique allemande"
"Charrat",1264,"Région linguistique française"
"Urdorf",1265,"Région linguistique allemande"
"Seuzach",1266,"Région linguistique allemande"
"Zeneggen",1267,"Région linguistique allemande"
"Ried bei Kerzers",1268,"Région linguistique allemande"
"Büsserach",1269,"Région linguistique allemande"
"Erstfeld",127,"Région linguistique allemande"
"Obfelden",1270,"Région linguistique allemande"
"Uznach",1271,"Région linguistique allemande"
"Lac de Neuchâtel (VD)",1272,"aucune appartenance"
"Thierachern",1273,"Région linguistique allemande"
"Burgistein",1274,"Région linguistique allemande"
"Hofstetten-Flüh",1275,"Région linguistique allemande"
"Le Châtelard",1276,"Région linguistique française"
"Lac de Morat (VD)",1277,"aucune appartenance"
"Soyhières",1278,"Région linguistique française"
"Wiedlisbach",1279,"Région linguistique allemande"
"Rossa",128,"Région linguistique italienne"
"Plagne",1280,"Région linguistique française"
"Moleno",1281,"Région linguistique italienne"
"Heiden",1282,"Région linguistique allemande"
"Meride",1283,"Région linguistique italienne"
"Gnosca",1284,"Région linguistique italienne"
"Cologny",1285,"Région linguistique française"
"Bonstetten",1286,"Région linguistique allemande"
"Erschwil",1287,"Région linguistique allemande"
"Böttstein",1288,"Région linguistique allemande"
"Lengnau (BE)",1289,"Région linguistique allemande"
"Täsch",129,"Région linguistique allemande"
"Aesch (BL)",1290,"Région linguistique allemande"
"Mönchaltorf",1291,"Région linguistique allemande"
"Felben-Wellhausen",1292,"Région linguistique allemande"
"Fey",1293,"Région linguistique française"
